"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Aeugst am Albis ZH","In Aeugst am Albis hat die Kostenbremse-Initiative keine Mehrheit gefunden. Auf 68,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Aeugst am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis rejettent l'initiative du Centre ""pour un frein aux coûts"" avec 68,9 pour cent de non. Aeugst am Albis a rejeté l'initiative, tout comme son canton.","Aeugst am Albis ZH","I cittadini di Aeugst am Albis hanno respinto l'iniziativa per un freno ai costi del Centro con il 68,9 per cento di voti contrari. Aeugst am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Affoltern am Albis ZH","Keine Mehrheit für die Kostenbremse-Initiative in Affoltern am Albis: Mit 2'240 Nein-Stimmen zu 1'021 Ja-Stimmen oder 68,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Affoltern am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Affoltern am Albis (ZH)","C'est non à 68,7 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Affoltern am Albis. Affoltern am Albis a rejeté l'initiative, tout comme son canton.","Affoltern am Albis ZH","Il 68,7 per cento degli elettori di Affoltern am Albis ha respinto l'iniziativa per un freno ai costi del Centro. Affoltern am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Bonstetten ZH","Keine Mehrheit für die Kostenbremse-Initiative in Bonstetten: Mit 1'369 Nein-Stimmen zu 625 Ja-Stimmen oder 68,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Bonstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bonstetten (ZH)","C'est non à 68,7 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Bonstetten. Bonstetten a rejeté l'initiative, tout comme son canton.","Bonstetten ZH","Il 68,7 per cento degli elettori di Bonstetten ha respinto l'iniziativa per un freno ai costi del Centro. Bonstetten ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Hausen am Albis ZH","Nein zur Kostenbremse-Initiative in Hausen am Albis mit 67,5 Prozent Ablehnung. Hausen am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent non à 67,5 pour cent à l'initiative du Centre pour un ""frein aux coûts"". Hausen am Albis a rejeté l'initiative, tout comme son canton.","Hausen am Albis ZH","Nel comune di Hausen am Albis, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 67,5 per cento di voti contrari. Hausen am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Hedingen ZH","70,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zur Kostenbremse-Initiative. Hedingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hedingen (ZH)","Les habitants de Hedingen s'opposent à l'initiative du Centre ""pour un frein aux coûts"" avec 70,1 pour cent de non. Hedingen a rejeté l'initiative, tout comme son canton.","Hedingen ZH","Gli abitanti di Hedingen hanno respinto l'iniziativa per un freno ai costi del Centro con il 70,1 per cento di ""no"". Hedingen ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Kappel am Albis ZH","Keine Mehrheit für die Kostenbremse-Initiative in Kappel am Albis: Mit 307 Nein-Stimmen zu 123 Ja-Stimmen oder 71,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Kappel am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Kappel am Albis (ZH)","C'est non à 71,4 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Kappel am Albis. Kappel am Albis a rejeté l'initiative, tout comme son canton.","Kappel am Albis ZH","Il 71,4 per cento degli elettori di Kappel am Albis ha respinto l'iniziativa per un freno ai costi del Centro. Kappel am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Knonau ZH","65,9 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Kostenbremse-Initiative. Knonau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Knonau (ZH)","Les habitants de Knonau s'opposent à l'initiative du Centre ""pour un frein aux coûts"" avec 65,9 pour cent de non. Knonau a rejeté l'initiative, tout comme son canton.","Knonau ZH","Gli abitanti di Knonau hanno respinto l'iniziativa per un freno ai costi del Centro con il 65,9 per cento di ""no"". Knonau ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die Kostenbremse-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 62,1 Prozent verworfen. Maschwanden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Maschwanden (ZH)","A Maschwanden, les habitants sont défavorables à l'initiative du Centre ""pour un frein aux coûts"" avec 62,1 pour cent des voix. Maschwanden a rejeté l'initiative, tout comme son canton.","Maschwanden ZH","A Maschwanden gli abitanti si sono opposti all'iniziativa per un freno ai costi del Centro con il 62,1 per cento di voti a sfavore. Maschwanden ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Mettmenstetten ZH","Nein zur Kostenbremse-Initiative in Mettmenstetten mit 68,6 Prozent Ablehnung. Mettmenstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent non à 68,6 pour cent à l'initiative du Centre pour un ""frein aux coûts"". Mettmenstetten a rejeté l'initiative, tout comme son canton.","Mettmenstetten ZH","Nel comune di Mettmenstetten, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 68,6 per cento di voti contrari. Mettmenstetten ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Obfelden ZH","Nein zur Kostenbremse-Initiative in Obfelden mit 66,3 Prozent Ablehnung. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Obfelden (ZH)","A Obfelden, les habitants disent non à 66,3 pour cent à l'initiative du Centre pour un ""frein aux coûts"". Obfelden a rejeté l'initiative, tout comme son canton.","Obfelden ZH","Nel comune di Obfelden, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 66,3 per cento di voti contrari. Obfelden ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
