"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Aeugst am Albis ZH","In Aeugst am Albis hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 70,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Aeugst am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis rejettent l'initiative pour interdire la ""vaccination obligatoire"" avec 70,1 pour cent de non. Aeugst am Albis a rejeté l'initiative, tout comme son canton.","Aeugst am Albis ZH","I cittadini di Aeugst am Albis hanno respinto l'iniziativa per la libertà e l'integrità fisica con il 70,1 per cento di voti contrari. Aeugst am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Affoltern am Albis ZH","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Affoltern am Albis: Mit 2'496 Nein-Stimmen zu 770 Ja-Stimmen oder 76,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Affoltern am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Affoltern am Albis (ZH)","C'est non à 76,4 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Affoltern am Albis. Affoltern am Albis a rejeté l'initiative, tout comme son canton.","Affoltern am Albis ZH","Il 76,4 per cento degli elettori di Affoltern am Albis ha respinto l'iniziativa per la libertà e l'integrità fisica. Affoltern am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Bonstetten ZH","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Bonstetten: Mit 1'563 Nein-Stimmen zu 444 Ja-Stimmen oder 77,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Bonstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bonstetten (ZH)","C'est non à 77,9 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Bonstetten. Bonstetten a rejeté l'initiative, tout comme son canton.","Bonstetten ZH","Il 77,9 per cento degli elettori di Bonstetten ha respinto l'iniziativa per la libertà e l'integrità fisica. Bonstetten ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Hausen am Albis ZH","Nein zur ""Stopp-Impfpflicht""-Initiative in Hausen am Albis mit 70,1 Prozent Ablehnung. Hausen am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent non à 70,1 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Hausen am Albis a rejeté l'initiative, tout comme son canton.","Hausen am Albis ZH","Nel comune di Hausen am Albis, i cittadini hanno respinto l'iniziativa per la libertà e l'integrità fisica con il 70,1 per cento di voti contrari. Hausen am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Hedingen ZH","77,2 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zur ""Stopp-Impfpflicht""-Initiative. Hedingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hedingen (ZH)","Les habitants de Hedingen s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 77,2 pour cent de non. Hedingen a rejeté l'initiative, tout comme son canton.","Hedingen ZH","Gli abitanti di Hedingen hanno respinto l'iniziativa per la libertà e l'integrità fisica con il 77,2 per cento di ""no"". Hedingen ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Kappel am Albis ZH","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Kappel am Albis: Mit 275 Nein-Stimmen zu 150 Ja-Stimmen oder 64,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Kappel am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Kappel am Albis (ZH)","C'est non à 64,7 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Kappel am Albis. Kappel am Albis a rejeté l'initiative, tout comme son canton.","Kappel am Albis ZH","Il 64,7 per cento degli elettori di Kappel am Albis ha respinto l'iniziativa per la libertà e l'integrità fisica. Kappel am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Knonau ZH","70,8 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur ""Stopp-Impfpflicht""-Initiative. Knonau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Knonau (ZH)","Les habitants de Knonau s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 70,8 pour cent de non. Knonau a rejeté l'initiative, tout comme son canton.","Knonau ZH","Gli abitanti di Knonau hanno respinto l'iniziativa per la libertà e l'integrità fisica con il 70,8 per cento di ""no"". Knonau ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 64 Prozent verworfen. Maschwanden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Maschwanden (ZH)","A Maschwanden, les habitants sont défavorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 64 pour cent des voix. Maschwanden a rejeté l'initiative, tout comme son canton.","Maschwanden ZH","A Maschwanden gli abitanti si sono opposti all'iniziativa per la libertà e l'integrità fisica con il 64 per cento di voti a sfavore. Maschwanden ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Mettmenstetten ZH","Nein zur ""Stopp-Impfpflicht""-Initiative in Mettmenstetten mit 74,2 Prozent Ablehnung. Mettmenstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent non à 74,2 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Mettmenstetten a rejeté l'initiative, tout comme son canton.","Mettmenstetten ZH","Nel comune di Mettmenstetten, i cittadini hanno respinto l'iniziativa per la libertà e l'integrità fisica con il 74,2 per cento di voti contrari. Mettmenstetten ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Obfelden ZH","Nein zur ""Stopp-Impfpflicht""-Initiative in Obfelden mit 77,5 Prozent Ablehnung. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Obfelden (ZH)","A Obfelden, les habitants disent non à 77,5 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Obfelden a rejeté l'initiative, tout comme son canton.","Obfelden ZH","Nel comune di Obfelden, i cittadini hanno respinto l'iniziativa per la libertà e l'integrità fisica con il 77,5 per cento di voti contrari. Obfelden ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
