"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Aeugst am Albis ZH","Mit 78,9 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Aeugst am Albis für die Pensionskassenreform gestimmt. Damit hat in Aeugst am Albis seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 64,9 Prozent ein Nein in die Urne gelegt.","Aeugst am Albis (ZH)","La population d'Aeugst am Albis approuve à 78,9 pour cent la réforme de la LPP. Avec ce résultat, Aeugst am Albis bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 64,9 pour cent des voix.","Aeugst am Albis (ZH)","I cittadini di Aeugst am Albis hanno accolto la riforma LPP con il 78,9 per cento di voti a favore. Con questo risultato, Aeugst am Albis si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 64,9 per cento dei voti contrari.
"
"Affoltern am Albis ZH","67,2 Prozent der Stimmbürgerinnen und Stimmbürger in Affoltern am Albis haben Ja gesagt zur Pensionskassenreform. Damit hat in Affoltern am Albis seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 70,2 Prozent ein Nein in die Urne gelegt.","Affoltern am Albis (ZH)","Les habitants d'Affoltern am Albis acceptent avec 67,2 pour cent de oui la réforme de la LPP. Avec ce résultat, Affoltern am Albis bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 70,2 pour cent des voix.","Affoltern am Albis (ZH)","Il 67,2 per cento degli elettori di Affoltern am Albis ha accolto la riforma LPP. Con questo risultato, Affoltern am Albis si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 70,2 per cento dei voti contrari.
"
"Bonstetten ZH","60,1 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zur Pensionskassenreform. Damit hat in Bonstetten seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68,3 Prozent ein Nein in die Urne gelegt.","Bonstetten (ZH)","Les habitants de Bonstetten acceptent avec 60,1 pour cent de oui la réforme de la LPP. Avec ce résultat, Bonstetten bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 68,3 pour cent des voix.","Bonstetten (ZH)","Il 60,1 per cento degli elettori di Bonstetten ha accolto la riforma LPP. Con questo risultato, Bonstetten si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 68,3 per cento dei voti contrari.
"
"Hausen am Albis ZH","66 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für die Pensionskassenreform ausgesprochen. Damit hat in Hausen am Albis seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 67 Prozent ein Nein in die Urne gelegt.","Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent oui à  66 pour cent à la réforme de la LPP. Avec ce résultat, Hausen am Albis bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 67 pour cent des voix.","Hausen am Albis (ZH)","Nel comune di Hausen am Albis, i cittadini hanno accolto la riforma LPP con il 66 per cento di voti favorevoli. Con questo risultato, Hausen am Albis si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 67 per cento dei voti contrari.
"
"Hedingen ZH","65,2 der Stimmbürgerinnen und Stimmbürger von Hedingen haben die Pensionskassenreform abgelehnt. Damit hat die Ablehung in Hedingen im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 68,7 Prozent.","Hedingen (ZH)","Les habitants de Hedingen s'opposent à la réforme de la LPP par 65,2 pour cent des voix. Le rejet de la loi est toutefois moins fort que celui de la précédente réforme en 2010. Les habitants de Hedingen avaient alors dit non à 68,7 pour cent à une adaptation du taux de conversion.","Hedingen (ZH)","Gli abitanti di Hedingen hanno respinto la riforma LPP con il 65,2 per cento di ""no"". Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 68,7 per cento degli abitanti di Hedingen aveva respinto un adeguamento dell'aliquota minima di conversione."
"Kappel am Albis ZH","57 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis haben Ja gesagt zur Pensionskassenreform. Damit hat in Kappel am Albis seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 62,1 Prozent ein Nein in die Urne gelegt.","Kappel am Albis (ZH)","Les habitants de Kappel am Albis acceptent avec 57 pour cent de oui la réforme de la LPP. Avec ce résultat, Kappel am Albis bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 62,1 pour cent des voix.","Kappel am Albis (ZH)","Il 57 per cento degli elettori di Kappel am Albis ha accolto la riforma LPP. Con questo risultato, Kappel am Albis si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 62,1 per cento dei voti contrari.
"
"Knonau ZH","57,3 der Stimmbürgerinnen und Stimmbürger von Knonau haben die Pensionskassenreform abgelehnt. Damit hat die Ablehung in Knonau im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 69,5 Prozent.","Knonau (ZH)","Les habitants de Knonau s'opposent à la réforme de la LPP par 57,3 pour cent des voix. Le rejet de la loi est toutefois moins fort que celui de la précédente réforme en 2010. Les habitants de Knonau avaient alors dit non à 69,5 pour cent à une adaptation du taux de conversion.","Knonau (ZH)","Gli abitanti di Knonau hanno respinto la riforma LPP con il 57,3 per cento di ""no"". Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 69,5 per cento degli abitanti di Knonau aveva respinto un adeguamento dell'aliquota minima di conversione."
"Maschwanden ZH","Die Pensionskassenreform ist in Maschwanden mit 70 Prozent der Stimmen angenommen worden. Damit hat in Maschwanden seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 59,8 Prozent ein Nein in die Urne gelegt.","Maschwanden (ZH)","La réforme de la LPP est approuvée à Maschwanden par 70 pour cent des votants. Avec ce résultat, Maschwanden bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 59,8 pour cent des voix.","Maschwanden (ZH)","A Maschwanden gli abitanti hanno accolto la riforma LPP con il 70 per cento di ""sì"". Con questo risultato, Maschwanden si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 59,8 per cento dei voti contrari.
"
"Mettmenstetten ZH","51,5 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich für die Pensionskassenreform ausgesprochen. Damit hat in Mettmenstetten seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 64,7 Prozent ein Nein in die Urne gelegt.","Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent oui à  51,5 pour cent à la réforme de la LPP. Avec ce résultat, Mettmenstetten bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 64,7 pour cent des voix.","Mettmenstetten (ZH)","Nel comune di Mettmenstetten, i cittadini hanno accolto la riforma LPP con il 51,5 per cento di voti favorevoli. Con questo risultato, Mettmenstetten si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 64,7 per cento dei voti contrari.
"
"Obfelden ZH","82,3 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich für die Pensionskassenreform ausgesprochen. Damit hat in Obfelden seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 75 Prozent ein Nein in die Urne gelegt.","Obfelden (ZH)","A Obfelden, les habitants disent oui à  82,3 pour cent à la réforme de la LPP. Avec ce résultat, Obfelden bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 75 pour cent des voix.","Obfelden (ZH)","Nel comune di Obfelden, i cittadini hanno accolto la riforma LPP con il 82,3 per cento di voti favorevoli. Con questo risultato, Obfelden si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 75 per cento dei voti contrari.
"
