"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Aeugst am Albis ZH","In Aeugst am Albis hat die Prämienentlastungsinitiative keine Mehrheit gefunden. Auf 70,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Aeugst am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis rejettent l'initiative ""d'allègement des primes"" du PS avec 70,8 pour cent de non. Aeugst am Albis a rejeté l'initiative, tout comme son canton.","Aeugst am Albis ZH","I cittadini di Aeugst am Albis hanno respinto l'iniziativa per premi meno onerosi del PS con il 70,8 per cento di voti contrari. Aeugst am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Affoltern am Albis ZH","Keine Mehrheit für die Prämienentlastungsinitiative in Affoltern am Albis: Mit 2'119 Nein-Stimmen zu 1'150 Ja-Stimmen oder 64,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Affoltern am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Affoltern am Albis (ZH)","C'est non à 64,8 pour cent à l'initiative ""d'allègement des primes"" du PS à Affoltern am Albis. Affoltern am Albis a rejeté l'initiative, tout comme son canton.","Affoltern am Albis ZH","Il 64,8 per cento degli elettori di Affoltern am Albis ha respinto l'iniziativa per premi meno onerosi del PS. Affoltern am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Bonstetten ZH","Keine Mehrheit für die Prämienentlastungsinitiative in Bonstetten: Mit 1'310 Nein-Stimmen zu 698 Ja-Stimmen oder 65,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Bonstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bonstetten (ZH)","C'est non à 65,2 pour cent à l'initiative ""d'allègement des primes"" du PS à Bonstetten. Bonstetten a rejeté l'initiative, tout comme son canton.","Bonstetten ZH","Il 65,2 per cento degli elettori di Bonstetten ha respinto l'iniziativa per premi meno onerosi del PS. Bonstetten ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Hausen am Albis ZH","Nein zur Prämienentlastungsinitiative in Hausen am Albis. Die Gemeinde hat die Vorlage mit 63,8 Prozent abgelehnt. Hausen am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent non à 63,8 pour cent à l'initiative ""d'allègement des primes"" du PS. Hausen am Albis a rejeté l'initiative, tout comme son canton.","Hausen am Albis ZH","Nel comune di Hausen am Albis, i cittadini hanno respinto l'iniziativa per premi meno onerosi del PS con il 63,8 per cento di voti contrari. Hausen am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Hedingen ZH","71,7 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zur Prämienentlastungsinitiative. Hedingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hedingen (ZH)","Les habitants de Hedingen s'opposent à l'initiative ""d'allègement des primes"" du PS avec 71,7 pour cent de non. Hedingen a rejeté l'initiative, tout comme son canton.","Hedingen ZH","Gli abitanti di Hedingen hanno respinto l'iniziativa per premi meno onerosi del PS con il 71,7 per cento di ""no"". Hedingen ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Kappel am Albis ZH","Keine Mehrheit für die Prämienentlastungsinitiative in Kappel am Albis: Mit 312 Nein-Stimmen zu 119 Ja-Stimmen oder 72,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Kappel am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Kappel am Albis (ZH)","C'est non à 72,4 pour cent à l'initiative ""d'allègement des primes"" du PS à Kappel am Albis. Kappel am Albis a rejeté l'initiative, tout comme son canton.","Kappel am Albis ZH","Il 72,4 per cento degli elettori di Kappel am Albis ha respinto l'iniziativa per premi meno onerosi del PS. Kappel am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Knonau ZH","64,3 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Prämienentlastungsinitiative. Knonau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Knonau (ZH)","Les habitants de Knonau s'opposent à l'initiative ""d'allègement des primes"" du PS avec 64,3 pour cent de non. Knonau a rejeté l'initiative, tout comme son canton.","Knonau ZH","Gli abitanti di Knonau hanno respinto l'iniziativa per premi meno onerosi del PS con il 64,3 per cento di ""no"". Knonau ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 58,9 Prozent verworfen. Maschwanden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Maschwanden (ZH)","A Maschwanden, les habitants sont défavorables à l'initiative ""d'allègement des primes"" du PS avec 58,9 pour cent des voix. Maschwanden a rejeté l'initiative, tout comme son canton.","Maschwanden ZH","A Maschwanden gli abitanti si sono opposti all'iniziativa per premi meno onerosi del PS con il 58,9 per cento di voti a sfavore. Maschwanden ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Mettmenstetten ZH","Nein zur Prämienentlastungsinitiative in Mettmenstetten. Die Gemeinde hat die Vorlage mit 67,3 Prozent abgelehnt. Mettmenstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent non à 67,3 pour cent à l'initiative ""d'allègement des primes"" du PS. Mettmenstetten a rejeté l'initiative, tout comme son canton.","Mettmenstetten ZH","Nel comune di Mettmenstetten, i cittadini hanno respinto l'iniziativa per premi meno onerosi del PS con il 67,3 per cento di voti contrari. Mettmenstetten ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
"Obfelden ZH","Nein zur Prämienentlastungsinitiative in Obfelden. Die Gemeinde hat die Vorlage mit 63,5 Prozent abgelehnt. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Obfelden (ZH)","A Obfelden, les habitants disent non à 63,5 pour cent à l'initiative ""d'allègement des primes"" du PS. Obfelden a rejeté l'initiative, tout comme son canton.","Obfelden ZH","Nel comune di Obfelden, i cittadini hanno respinto l'iniziativa per premi meno onerosi del PS con il 63,5 per cento di voti contrari. Obfelden ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
