"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis hat das Stromgesetz mit 59,5 Prozent Ja-Stimmen angenommen. Aeugst am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis acceptent la loi sur l'électricité avec 59,5 pour cent de oui. Aeugst am Albis a approuvé la loi, tout comme son canton.","Aeugst am Albis ZH","I cittadini di Aeugst am Albis hanno accolto la legge sull'approvvigionamento elettrico con il 59,5 per cento di voti a favore. Aeugst am Albis ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Affoltern am Albis ZH","70,3 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zum Stromgesetz. Affoltern am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Affoltern am Albis (ZH)","C'est oui à 70,3 pour cent à la loi sur l'électricité à Affoltern am Albis. Affoltern am Albis a approuvé la loi, tout comme son canton.","Affoltern am Albis ZH","Il 70,3 per cento degli elettori di Affoltern am Albis ha accolto la legge sull'approvvigionamento elettrico. Affoltern am Albis ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Bonstetten ZH","70,7 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zum Stromgesetz. Bonstetten hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Bonstetten (ZH)","C'est oui à 70,7 pour cent à la loi sur l'électricité à Bonstetten. Bonstetten a approuvé la loi, tout comme son canton.","Bonstetten ZH","Il 70,7 per cento degli elettori di Bonstetten ha accolto la legge sull'approvvigionamento elettrico. Bonstetten ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat das Stromgesetz mit 65,2 Prozent angenommen. Hausen am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent oui à 65,2 pour cent à la loi sur l'électricité. Hausen am Albis a approuvé la loi, tout comme son canton.","Hausen am Albis ZH","Nel comune di Hausen am Albis, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 65,2 per cento di voti favorevoli. Hausen am Albis ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Hedingen ZH","Ja zum Stromgesetz in Hedingen: Mit 70,4 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Hedingen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Hedingen (ZH)","Les habitants de Hedingen approuvent la loi sur l'électricité avec 70,4 pour cent des voix. Hedingen a approuvé la loi, tout comme son canton.","Hedingen ZH","Gli abitanti di Hedingen hanno accolto la legge sull'approvvigionamento elettrico con il 70,4 per cento di ""sì"". Hedingen ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Kappel am Albis ZH","56,7 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zum Stromgesetz. Kappel am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Kappel am Albis (ZH)","C'est oui à 56,7 pour cent à la loi sur l'électricité à Kappel am Albis. Kappel am Albis a approuvé la loi, tout comme son canton.","Kappel am Albis ZH","Il 56,7 per cento degli elettori di Kappel am Albis ha accolto la legge sull'approvvigionamento elettrico. Kappel am Albis ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Knonau ZH","Ja zum Stromgesetz in Knonau: Mit 67,6 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Knonau hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Knonau (ZH)","Les habitants de Knonau approuvent la loi sur l'électricité avec 67,6 pour cent des voix. Knonau a approuvé la loi, tout comme son canton.","Knonau ZH","Gli abitanti di Knonau hanno accolto la legge sull'approvvigionamento elettrico con il 67,6 per cento di ""sì"". Knonau ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung dem Stromgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 53,1 Prozent angenommen. Maschwanden hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Maschwanden (ZH)","A Maschwanden, les habitants sont favorables à la loi sur l'électricité avec 53,1 pour cent des suffrages. Maschwanden a approuvé la loi, tout comme son canton.","Maschwanden ZH","A Maschwanden gli abitanti hanno accolto la legge sull'approvvigionamento elettrico con il 53,1 per cento di ""sì"". Maschwanden ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Mettmenstetten ZH","Die Gemeinde Mettmenstetten hat das Stromgesetz mit 63,7 Prozent angenommen. Mettmenstetten hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent oui à 63,7 pour cent à la loi sur l'électricité. Mettmenstetten a approuvé la loi, tout comme son canton.","Mettmenstetten ZH","Nel comune di Mettmenstetten, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 63,7 per cento di voti favorevoli. Mettmenstetten ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Obfelden ZH","Die Gemeinde Obfelden hat das Stromgesetz mit 65,4 Prozent angenommen. Obfelden hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Obfelden (ZH)","A Obfelden, les habitants disent oui à 65,4 pour cent à la loi sur l'électricité. Obfelden a approuvé la loi, tout comme son canton.","Obfelden ZH","Nel comune di Obfelden, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 65,4 per cento di voti favorevoli. Obfelden ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
"Ottenbach ZH","Ja zum Stromgesetz in Ottenbach: Mit 67,5 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Ottenbach hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Ottenbach (ZH)","Les habitants d'Ottenbach approuvent la loi sur l'électricité avec 67,5 pour cent des voix. Ottenbach a approuvé la loi, tout comme son canton.","Ottenbach ZH","Gli abitanti di Ottenbach hanno accolto la legge sull'approvvigionamento elettrico con il 67,5 per cento di ""sì"". Ottenbach ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
