"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,66.7,66.7,33.3,"Aire-la-Ville (GE)","Les habitants d'Aire-la-Ville acceptent l'initiative pour la biodiversité avec 66,7 pour cent de oui. Aire-la-Ville a approuvé l'initiative, tout comme son canton."
6602,99.2,99.2,0.8,"Anières (GE)","A Anières, les habitants sont favorables à l'initiative pour la biodiversité avec 99,2 pour cent des suffrages. Le plus fort pourcentage de oui du canton de Genève a été obtenu à Anières."
6603,45.4,45.4,54.6,"Avully (GE)","Les habitants d'Avully s'opposent à l'initiative pour la biodiversité avec 54,6 pour cent de non. Avully a rejeté l'initiative, contrairement à son canton."
6604,4.7,4.7,95.3,"Avusy (GE)","A Avusy, les habitants disent non à 95,3 pour cent à l'initiative pour la biodiversité. Le plus fort pourcentage de non du canton de Genève a été obtenu à Avusy."
6605,43.3,43.3,56.7,"Bardonnex (GE)","L'initiative pour la biodiversité ne passe pas la rampe à Bardonnex avec 56,7 pour cent de non. Bardonnex a rejeté l'initiative, contrairement à son canton."
6606,72.4,72.4,27.6,"Bellevue (GE)","Les habitants de Bellevue approuvent l'initiative pour la biodiversité avec 72,4 pour cent des voix. Bellevue a approuvé l'initiative, tout comme son canton."
6607,13.1,13.1,86.9,"Bernex (GE)","Les habitants de Bernex s'opposent à l'initiative pour la biodiversité avec 86,9 pour cent de non. Bernex a rejeté l'initiative, contrairement à son canton."
6608,28.4,28.4,71.6,"Carouge (GE)","C'est non à 71,6 pour cent à l'initiative pour la biodiversité à Carouge (GE). Carouge (GE) a rejeté l'initiative, contrairement à son canton."
6609,59.5,59.5,40.5,"Cartigny (GE)","Les électeurs de Cartigny valident l'initiative pour la biodiversité avec 59,5 pour cent des voix. Cartigny a approuvé l'initiative, tout comme son canton."
6610,54.9,54.9,45.1,"Céligny (GE)","A Céligny, les habitants sont favorables à l'initiative pour la biodiversité avec 54,9 pour cent des suffrages. Céligny a approuvé l'initiative, tout comme son canton."
6611,67.7,67.7,32.3,"Chancy (GE)","C'est oui à 67,7 pour cent à l'initiative pour la biodiversité à Chancy. Chancy a approuvé l'initiative, tout comme son canton."
6612,36.4,36.4,63.6,"Chêne-Bougeries (GE)","Les habitants de Chêne-Bougeries rejettent l'initiative pour la biodiversité avec 63,6 pour cent de non. Chêne-Bougeries a rejeté l'initiative, contrairement à son canton."
6613,46.1,46.1,53.9,"Chêne-Bourg (GE)","Les habitants de Chêne-Bourg rejettent l'initiative pour la biodiversité avec 53,9 pour cent de non. Chêne-Bourg a rejeté l'initiative, contrairement à son canton."
6614,84.3,84.3,15.7,"Choulex (GE)","A Choulex, les habitants sont favorables à l'initiative pour la biodiversité avec 84,3 pour cent des suffrages. Choulex a approuvé l'initiative, tout comme son canton."
