"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,15.9,15.9,84.1,"Aire-la-Ville GE","NA NA"
6602,34.2,34.2,65.8,"Anières GE","NA NA"
6603,35.4,35.4,64.6,"Avully GE","NA NA"
6604,80.3,80.3,19.7,"Avusy GE","NA NA"
6605,44.7,44.7,55.3,"Bardonnex GE","NA NA"
6606,71.3,71.3,28.7,"Bellevue GE","NA NA"
6607,9.3,9.3,90.7,"Bernex GE","NA NA"
6608,62.1,62.1,37.9,"Carouge GE","NA NA"
6609,71.3,71.3,28.7,"Cartigny GE","NA NA"
6610,22.3,22.3,77.7,"Céligny GE","NA NA"
6611,79.4,79.4,20.6,"Chancy GE","NA NA"
6612,51.2,51.2,48.8,"Chêne-Bougeries GE","NA NA"
6613,84.9,84.9,15.1,"Chêne-Bourg GE","NA NA"
6614,92.3,92.3,7.7,"Choulex GE","NA NA"
6615,81.6,81.6,18.4,"Collex-Bossy GE","NA NA"
6616,56.1,56.1,43.9,"Collonge-Bellerive GE","NA NA"
6617,81.6,81.6,18.4,"Cologny GE","NA NA"
6618,68.6,68.6,31.4,"Confignon GE","NA NA"
6619,26.8,26.8,73.2,"Corsier GE","NA NA"
6620,55.3,55.3,44.7,"Dardagny GE","NA NA"
6621,49.6,49.6,50.4,"Genf GE","NA NA"
6622,54.9,54.9,45.1,"Genthod GE","NA NA"
6623,28.6,28.6,71.4,"Le Grand-Saconnex GE","NA NA"
6624,52.3,52.3,47.7,"Gy GE","NA NA"
6625,39.6,39.6,60.4,"Hermance GE","NA NA"
6626,38.1,38.1,61.9,"Jussy GE","NA NA"
6627,52.8,52.8,47.2,"Laconnex GE","NA NA"
6628,3,3,97,"Lancy GE","NA NA"
6629,48.7,48.7,51.3,"Meinier GE","NA NA"
6630,79.6,79.6,20.4,"Meyrin GE","NA NA"
6631,92.6,92.6,7.4,"Onex GE","NA NA"
6632,42.1,42.1,57.9,"Perly-Certoux GE","NA NA"
6633,74.2,74.2,25.8,"Plan-les-Ouates GE","NA NA"
6634,51.7,51.7,48.3,"Pregny-Chambésy GE","NA NA"
6635,23.2,23.2,76.8,"Presinge GE","NA NA"
6636,56.2,56.2,43.8,"Puplinge GE","NA NA"
6637,40.7,40.7,59.3,"Russin GE","NA NA"
6638,28.2,28.2,71.8,"Satigny GE","NA NA"
6639,52.1,52.1,47.9,"Soral GE","NA NA"
6640,9.2,9.2,90.8,"Thônex GE","NA NA"
6641,13.5,13.5,86.5,"Troinex GE","NA NA"
6642,32.9,32.9,67.1,"Vandoeuvres GE","NA NA"
6643,16.7,16.7,83.3,"Vernier GE","NA NA"
6644,46.6,46.6,53.4,"Versoix GE","NA NA"
6645,93.5,93.5,6.5,"Veyrier GE","NA NA"
