"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2008,57.5,57.5,42.5,"Châtillon (FR)","L'initiative pour la biodiversité passe la rampe à Châtillon (FR) avec 57,5 pour cent de oui. Châtillon (FR) a approuvé l'initiative, contrairement à son canton."
2011,76.6,76.6,23.4,"Cugy (FR)","C'est oui à 76,6 pour cent à l'initiative pour la biodiversité à Cugy (FR). Cugy (FR) a approuvé l'initiative, contrairement à son canton."
2016,87.5,87.5,12.5,"Fétigny (FR)","Les électeurs de Fétigny valident l'initiative pour la biodiversité avec 87,5 pour cent des voix. Fétigny a approuvé l'initiative, contrairement à son canton."
2022,87.1,87.1,12.9,"Gletterens (FR)","A Gletterens, les habitants sont favorables à l'initiative pour la biodiversité avec 87,1 pour cent des suffrages. Gletterens a approuvé l'initiative, contrairement à son canton."
2025,48.5,48.5,51.5,"Lully (FR)","C'est non à 51,5 pour cent à l'initiative pour la biodiversité à Lully (FR). Lully (FR) a rejeté l'initiative, tout comme son canton."
2027,1.1,1.1,98.9,"Ménières (FR)","L'initiative pour la biodiversité échoue à Ménières avec 98,9 pour cent des suffrages. Ménières a rejeté l'initiative, tout comme son canton."
2029,72.6,72.6,27.4,"Montagny (FR)","Les habitants de Montagny (FR) acceptent l'initiative pour la biodiversité avec 72,6 pour cent de oui. Montagny (FR) a approuvé l'initiative, contrairement à son canton."
2035,40.6,40.6,59.4,"Nuvilly (FR)","Les habitants de Nuvilly rejettent l'initiative pour la biodiversité avec 59,4 pour cent de non. Nuvilly a rejeté l'initiative, tout comme son canton."
2038,63.9,63.9,36.1,"Prévondavaux (FR)","Les habitants de Prévondavaux acceptent l'initiative pour la biodiversité avec 63,9 pour cent de oui. Prévondavaux a approuvé l'initiative, contrairement à son canton."
2041,18.2,18.2,81.8,"Saint-Aubin (FR)","Les habitants de Saint-Aubin (FR) s'opposent à l'initiative pour la biodiversité avec 81,8 pour cent de non. Saint-Aubin (FR) a rejeté l'initiative, tout comme son canton."
2043,67,67,33,"Sévaz (FR)","L'initiative pour la biodiversité passe la rampe à Sévaz avec 67 pour cent de oui. Sévaz a approuvé l'initiative, contrairement à son canton."
2044,23.8,23.8,76.2,"Surpierre (FR)","L'initiative pour la biodiversité échoue à Surpierre avec 76,2 pour cent des suffrages. Surpierre a rejeté l'initiative, tout comme son canton."
2045,27.8,27.8,72.2,"Vallon (FR)","Les habitants de Vallon s'opposent à l'initiative pour la biodiversité avec 72,2 pour cent de non. Vallon a rejeté l'initiative, tout comme son canton."
2050,65.2,65.2,34.8,"Les Montets (FR)","Les électeurs des Montets valident l'initiative pour la biodiversité avec 65,2 pour cent des voix. Les Montets a approuvé l'initiative, contrairement à son canton."
2051,52.7,52.7,47.3,"Delley-Portalban (FR)","A Delley-Portalban, les habitants sont favorables à l'initiative pour la biodiversité avec 52,7 pour cent des suffrages. Delley-Portalban a approuvé l'initiative, contrairement à son canton."
2053,42.4,42.4,57.6,"Belmont-Broye (FR)","C'est non à 57,6 pour cent à l'initiative pour la biodiversité à Belmont-Broye. Belmont-Broye a rejeté l'initiative, tout comme son canton."
2054,28.1,28.1,71.9,"Estavayer (FR)","A Estavayer, les habitants sont défavorables à l'initiative pour la biodiversité avec 71,9 pour cent des voix. Estavayer a rejeté l'initiative, tout comme son canton."
2055,77.7,77.7,22.3,"Cheyres-Châbles (FR)","Les électeurs de Cheyres-Châbles valident l'initiative pour la biodiversité avec 77,7 pour cent des voix. Cheyres-Châbles a approuvé l'initiative, contrairement à son canton."
2061,68.1,68.1,31.9,"Auboranges (FR)","Les électeurs d'Auboranges valident l'initiative pour la biodiversité avec 68,1 pour cent des voix. Auboranges a approuvé l'initiative, contrairement à son canton."
2063,19.4,19.4,80.6,"Billens-Hennens (FR)","Les habitants de Billens-Hennens rejettent l'initiative pour la biodiversité avec 80,6 pour cent de non. Billens-Hennens a rejeté l'initiative, tout comme son canton."
2066,80.1,80.1,19.9,"Chapelle (Glâne) (FR)","C'est oui à 80,1 pour cent à l'initiative pour la biodiversité à Chapelle (Glâne). Chapelle (Glâne) a approuvé l'initiative, contrairement à son canton."
2067,85.1,85.1,14.9,"Le Châtelard (FR)","L'initiative pour la biodiversité passe la rampe au Châtelard avec 85,1 pour cent de oui. Le Châtelard a approuvé l'initiative, contrairement à son canton."
2068,84.6,84.6,15.4,"Châtonnaye (FR)","Les électeurs de Châtonnaye valident l'initiative pour la biodiversité avec 84,6 pour cent des voix. Châtonnaye a approuvé l'initiative, contrairement à son canton."
2072,54.8,54.8,45.2,"Ecublens (FR)","C'est oui à 54,8 pour cent à l'initiative pour la biodiversité à Ecublens (FR). Ecublens (FR) a approuvé l'initiative, contrairement à son canton."
2079,17.7,17.7,82.3,"Grangettes (FR)","C'est non à 82,3 pour cent à l'initiative pour la biodiversité à Grangettes. Grangettes a rejeté l'initiative, tout comme son canton."
2086,72.8,72.8,27.2,"Massonnens (FR)","C'est oui à 72,8 pour cent à l'initiative pour la biodiversité à Massonnens. Massonnens a approuvé l'initiative, contrairement à son canton."
2087,38.9,38.9,61.1,"Mézières (FR)","L'initiative pour la biodiversité échoue à Mézières (FR) avec 61,1 pour cent des suffrages. Mézières (FR) a rejeté l'initiative, tout comme son canton."
2089,19.8,19.8,80.2,"Montet (Glâne) (FR)","L'initiative pour la biodiversité échoue à Montet (Glâne) avec 80,2 pour cent des suffrages. Montet (Glâne) a rejeté l'initiative, tout comme son canton."
2096,43.8,43.8,56.2,"Romont (FR)","A Romont (FR), les habitants disent non à 56,2 pour cent à l'initiative pour la biodiversité. Romont (FR) a rejeté l'initiative, tout comme son canton."
2097,60.8,60.8,39.2,"Rue (FR)","C'est oui à 60,8 pour cent à l'initiative pour la biodiversité à Rue. Rue a approuvé l'initiative, contrairement à son canton."
2099,4.3,4.3,95.7,"Siviriez (FR)","L'initiative pour la biodiversité ne passe pas la rampe à Siviriez avec 95,7 pour cent de non. Siviriez a rejeté l'initiative, tout comme son canton."
2102,8,8,92,"Ursy (FR)","A Ursy, les habitants sont défavorables à l'initiative pour la biodiversité avec 92 pour cent des voix. Ursy a rejeté l'initiative, tout comme son canton."
2113,95.6,95.6,4.4,"Vuisternens-devant-Romont (FR)","C'est oui à 95,6 pour cent à l'initiative pour la biodiversité à Vuisternens-devant-Romont. Le plus fort pourcentage de oui du canton de Fribourg a été obtenu à Vuisternens-devant-Romont."
2114,63.4,63.4,36.6,"Villorsonnens (FR)","C'est oui à 63,4 pour cent à l'initiative pour la biodiversité à Villorsonnens. Villorsonnens a approuvé l'initiative, contrairement à son canton."
2115,12.9,12.9,87.1,"Torny (FR)","A Torny, les habitants sont défavorables à l'initiative pour la biodiversité avec 87,1 pour cent des voix. Torny a rejeté l'initiative, tout comme son canton."
2117,75,75,25,"Villaz (FR)","C'est oui à 75 pour cent à l'initiative pour la biodiversité à Villaz. Villaz a approuvé l'initiative, contrairement à son canton."
2121,89.1,89.1,10.9,"Haut-Intyamon (FR)","Les habitants de Haut-Intyamon acceptent l'initiative pour la biodiversité avec 89,1 pour cent de oui. Haut-Intyamon a approuvé l'initiative, contrairement à son canton."
2122,47.5,47.5,52.5,"Pont-en-Ogoz (FR)","Les habitants de Pont-en-Ogoz s'opposent à l'initiative pour la biodiversité avec 52,5 pour cent de non. Pont-en-Ogoz a rejeté l'initiative, tout comme son canton."
2123,66.8,66.8,33.2,"Botterens (FR)","Les habitants de Botterens acceptent l'initiative pour la biodiversité avec 66,8 pour cent de oui. Botterens a approuvé l'initiative, contrairement à son canton."
2124,25.6,25.6,74.4,"Broc (FR)","Les habitants de Broc s'opposent à l'initiative pour la biodiversité avec 74,4 pour cent de non. Broc a rejeté l'initiative, tout comme son canton."
2125,72.4,72.4,27.6,"Bulle (FR)","C'est oui à 72,4 pour cent à l'initiative pour la biodiversité à Bulle. Bulle a approuvé l'initiative, contrairement à son canton."
2128,37.2,37.2,62.8,"Châtel-sur-Montsalvens (FR)","L'initiative pour la biodiversité échoue à Châtel-sur-Montsalvens avec 62,8 pour cent des suffrages. Châtel-sur-Montsalvens a rejeté l'initiative, tout comme son canton."
2129,52.5,52.5,47.5,"Corbières (FR)","L'initiative pour la biodiversité passe la rampe à Corbières avec 52,5 pour cent de oui. Corbières a approuvé l'initiative, contrairement à son canton."
2130,80.2,80.2,19.8,"Crésuz (FR)","Les habitants de Crésuz approuvent l'initiative pour la biodiversité avec 80,2 pour cent des voix. Crésuz a approuvé l'initiative, contrairement à son canton."
2131,59,59,41,"Echarlens (FR)","A Echarlens, les habitants disent oui à 59 pour cent à l'initiative pour la biodiversité. Echarlens a approuvé l'initiative, contrairement à son canton."
2134,60.4,60.4,39.6,"Grandvillard (FR)","L'initiative pour la biodiversité passe la rampe à Grandvillard avec 60,4 pour cent de oui. Grandvillard a approuvé l'initiative, contrairement à son canton."
2135,60.4,60.4,39.6,"Gruyères (FR)","Les électeurs de Gruyères valident l'initiative pour la biodiversité avec 60,4 pour cent des voix. Gruyères a approuvé l'initiative, contrairement à son canton."
2137,50.6,50.6,49.4,"Hauteville (FR)","Les habitants de Hauteville approuvent l'initiative pour la biodiversité avec 50,6 pour cent des voix. Hauteville a approuvé l'initiative, contrairement à son canton."
2138,11.6,11.6,88.4,"Bellegarde (FR)","A Bellegarde, les habitants disent non à 88,4 pour cent à l'initiative pour la biodiversité. Bellegarde a rejeté l'initiative, tout comme son canton."
2140,3.2,3.2,96.8,"Marsens (FR)","L'initiative pour la biodiversité ne passe pas la rampe à Marsens avec 96,8 pour cent de non. Marsens a rejeté l'initiative, tout comme son canton."
2143,77.2,77.2,22.8,"Morlon (FR)","A Morlon, les habitants sont favorables à l'initiative pour la biodiversité avec 77,2 pour cent des suffrages. Morlon a approuvé l'initiative, contrairement à son canton."
2145,51.1,51.1,48.9,"Le Pâquier (FR)","Les habitants du Pâquier (FR) approuvent l'initiative pour la biodiversité avec 51,1 pour cent des voix. Le Pâquier (FR) a approuvé l'initiative, contrairement à son canton."
2147,7.5,7.5,92.5,"Pont-la-Ville (FR)","Les habitants de Pont-la-Ville rejettent l'initiative pour la biodiversité avec 92,5 pour cent de non. Pont-la-Ville a rejeté l'initiative, tout comme son canton."
2148,70.8,70.8,29.2,"Riaz (FR)","L'initiative pour la biodiversité passe la rampe à Riaz avec 70,8 pour cent de oui. Riaz a approuvé l'initiative, contrairement à son canton."
2149,16.4,16.4,83.6,"La Roche (FR)","L'initiative pour la biodiversité échoue à La Roche avec 83,6 pour cent des suffrages. La Roche a rejeté l'initiative, tout comme son canton."
2152,70,70,30,"Sâles (FR)","A Sâles, les habitants disent oui à 70 pour cent à l'initiative pour la biodiversité. Sâles a approuvé l'initiative, contrairement à son canton."
2153,45.5,45.5,54.5,"Sorens (FR)","C'est non à 54,5 pour cent à l'initiative pour la biodiversité à Sorens. Sorens a rejeté l'initiative, tout comme son canton."
