"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1001,5.2,5.2,94.8,"Doppleschwand (LU)","NA NA"
1002,18.7,18.7,81.3,"Entlebuch (LU)","NA NA"
1004,6.6,6.6,93.4,"Flühli (LU)","NA NA"
1005,84.4,84.4,15.6,"Hasle (LU)","NA NA"
1007,53.9,53.9,46.1,"Romoos (LU)","NA NA"
1008,84.6,84.6,15.4,"Schüpfheim (LU)","NA NA"
1009,50.6,50.6,49.4,"Werthenstein (LU)","NA NA"
1010,53.9,53.9,46.1,"Escholzmatt-Marbach (LU)","NA NA"
1021,25.2,25.2,74.8,"Aesch (LU)","NA NA"
1023,37.1,37.1,62.9,"Ballwil (LU)","NA NA"
1024,44.2,44.2,55.8,"Emmen (LU)","NA NA"
1025,73.2,73.2,26.8,"Ermensee (LU)","NA NA"
1026,37.6,37.6,62.4,"Eschenbach (LU)","NA NA"
1030,67.1,67.1,32.9,"Hitzkirch (LU)","NA NA"
1031,15.8,15.8,84.2,"Hochdorf (LU)","NA NA"
1032,75.1,75.1,24.9,"Hohenrain (LU)","NA NA"
1033,19.7,19.7,80.3,"Inwil (LU)","NA NA"
1037,35.9,35.9,64.1,"Rain (LU)","NA NA"
1039,40.8,40.8,59.2,"Römerswil (LU)","NA NA"
1040,54.4,54.4,45.6,"Rothenburg (LU)","NA NA"
1041,31,31,69,"Schongau (LU)","NA NA"
1051,22.2,22.2,77.8,"Adligenswil (LU)","NA NA"
1052,28.6,28.6,71.4,"Buchrain (LU)","NA NA"
1053,46.2,46.2,53.8,"Dierikon (LU)","NA NA"
1054,56.6,56.6,43.4,"Ebikon (LU)","NA NA"
1055,1,1,99,"Gisikon (LU)","NA NA"
1056,36.1,36.1,63.9,"Greppen (LU)","NA NA"
1057,98.7,98.7,1.3,"Honau (LU)","NA NA"
1058,17.9,17.9,82.1,"Horw (LU)","NA NA"
1059,68.9,68.9,31.1,"Kriens (LU)","NA NA"
1061,12.7,12.7,87.3,"Lucerne (LU)","NA NA"
1062,10.6,10.6,89.4,"Malters (LU)","NA NA"
1063,43.8,43.8,56.2,"Meggen (LU)","NA NA"
1064,33.1,33.1,66.9,"Meierskappel (LU)","NA NA"
1065,89.4,89.4,10.6,"Root (LU)","NA NA"
1066,84.8,84.8,15.2,"Schwarzenberg (LU)","NA NA"
1067,40.5,40.5,59.5,"Udligenswil (LU)","NA NA"
1068,71.5,71.5,28.5,"Vitznau (LU)","NA NA"
1069,52.8,52.8,47.2,"Weggis (LU)","NA NA"
1081,53.6,53.6,46.4,"Beromünster (LU)","NA NA"
1082,34.8,34.8,65.2,"Büron (LU)","NA NA"
1083,65,65,35,"Buttisholz (LU)","NA NA"
1084,14.8,14.8,85.2,"Eich (LU)","NA NA"
1085,42.2,42.2,57.8,"Geuensee (LU)","NA NA"
1086,59.9,59.9,40.1,"Grosswangen (LU)","NA NA"
1088,16.8,16.8,83.2,"Hildisrieden (LU)","NA NA"
1089,23.8,23.8,76.2,"Knutwil (LU)","NA NA"
1091,58.1,58.1,41.9,"Mauensee (LU)","NA NA"
1093,18.7,18.7,81.3,"Neuenkirch (LU)","NA NA"
1094,18.4,18.4,81.6,"Nottwil (LU)","NA NA"
1095,8.7,8.7,91.3,"Oberkirch (LU)","NA NA"
1097,64.4,64.4,35.6,"Rickenbach (LU)","NA NA"
1098,65,65,35,"Ruswil (LU)","NA NA"
1099,4.1,4.1,95.9,"Schenkon (LU)","NA NA"
1100,51.3,51.3,48.7,"Schlierbach (LU)","NA NA"
1102,72.8,72.8,27.2,"Sempach (LU)","NA NA"
1103,46.4,46.4,53.6,"Sursee (LU)","NA NA"
1104,3.7,3.7,96.3,"Triengen (LU)","NA NA"
1107,16.2,16.2,83.8,"Wolhusen (LU)","NA NA"
1121,17.6,17.6,82.4,"Alberswil (LU)","NA NA"
1122,94.5,94.5,5.5,"Altbüron (LU)","NA NA"
1123,11.1,11.1,88.9,"Altishofen (LU)","NA NA"
1125,77.1,77.1,22.9,"Dagmersellen (LU)","NA NA"
1127,66,66,34,"Egolzwil (LU)","NA NA"
1128,50.1,50.1,49.9,"Ettiswil (LU)","NA NA"
1129,43.2,43.2,56.8,"Fischbach (LU)","NA NA"
1131,53.2,53.2,46.8,"Grossdietwil (LU)","NA NA"
1132,41.4,41.4,58.6,"Hergiswil bei Willisau (LU)","NA NA"
1135,82.6,82.6,17.4,"Luthern (LU)","NA NA"
1136,54.6,54.6,45.4,"Menznau (LU)","NA NA"
1137,17.1,17.1,82.9,"Nebikon (LU)","NA NA"
1139,78.8,78.8,21.2,"Pfaffnau (LU)","NA NA"
1140,44,44,56,"Reiden (LU)","NA NA"
1142,52.6,52.6,47.4,"Roggliswil (LU)","NA NA"
1143,66.2,66.2,33.8,"Schötz (LU)","NA NA"
1145,55.8,55.8,44.2,"Ufhusen (LU)","NA NA"
1146,7.8,7.8,92.2,"Wauwil (LU)","NA NA"
1147,68.7,68.7,31.3,"Wikon (LU)","NA NA"
1150,56.7,56.7,43.3,"Zell (LU)","NA NA"
1151,86,86,14,"Willisau (LU)","NA NA"
