"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,21,21,79,"Aire-la-Ville GE",
6602,18.9,18.9,81.1,"Anières GE",
6603,24.2,24.2,75.8,"Avully GE",
6604,20.4,20.4,79.6,"Avusy GE",
6605,20.3,20.3,79.7,"Bardonnex GE",
6606,27.1,27.1,72.9,"Bellevue GE",
6607,22.3,22.3,77.7,"Bernex GE",
6608,22.7,22.7,77.3,"Carouge GE",
6609,22.5,22.5,77.5,"Cartigny GE",
6610,25.7,25.7,74.3,"Céligny GE",
6611,27.1,27.1,72.9,"Chancy GE",
6612,21.2,21.2,78.8,"Chêne-Bougeries GE",
6613,24.9,24.9,75.1,"Chêne-Bourg GE",
6614,20,20,80,"Choulex GE",
6615,21.3,21.3,78.7,"Collex-Bossy GE",
6616,21.1,21.1,78.9,"Collonge-Bellerive GE",
6617,20.4,20.4,79.6,"Cologny GE",
6618,19.2,19.2,80.8,"Confignon GE",
6619,20.3,20.3,79.7,"Corsier GE",
6620,23.8,23.8,76.2,"Dardagny GE",
6621,22,22,78,"Ginevra GE",
6622,22,22,78,"Genthod GE",
6623,26.5,26.5,73.5,"Le Grand-Saconnex GE",
6624,22.2,22.2,77.8,"Gy GE",
6625,18.5,18.5,81.5,"Hermance GE",
6626,21.8,21.8,78.2,"Jussy GE",
6627,23.3,23.3,76.7,"Laconnex GE",
6628,26,26,74,"Lancy GE",
6629,21.5,21.5,78.5,"Meinier GE",
6630,29.4,29.4,70.6,"Meyrin GE",
6631,24.9,24.9,75.1,"Onex GE",
6632,23.5,23.5,76.5,"Perly-Certoux GE",
6633,22.5,22.5,77.5,"Plan-les-Ouates GE",
6634,23.7,23.7,76.3,"Pregny-Chambésy GE",
6635,23.3,23.3,76.7,"Presinge GE",
6636,21.8,21.8,78.2,"Puplinge GE",
6637,13.9,13.9,86.1,"Russin GE",
6638,24.4,24.4,75.6,"Satigny GE",
6639,19.9,19.9,80.1,"Soral GE",
6640,25.7,25.7,74.3,"Thônex GE",
6641,19.4,19.4,80.6,"Troinex GE",
6642,22.3,22.3,77.7,"Vandoeuvres GE",
6643,27.4,27.4,72.6,"Vernier GE",
6644,25.2,25.2,74.8,"Versoix GE",
6645,21.2,21.2,78.8,"Veyrier GE",
