"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1701,"due no",28.9,71.1,"Baar (ZG)",
1702,"iniziative si",66.4,33.6,"Cham (ZG)",
1703,"controproposta si",23.5,76.5,"Hünenberg (ZG)",
1704,"controproposta si",48.4,51.6,"Menzingen (ZG)",
1705,"controproposta si",60.9,39.1,"Neuheim (ZG)",
1706,"iniziative si",57.6,42.4,"Oberägeri (ZG)",
1707,"controproposta si",34.9,65.1,"Risch (ZG)",
1708,"iniziative si",89.9,10.1,"Steinhausen (ZG)",
1709,"iniziative si",59.3,40.7,"Unterägeri (ZG)",
1710,"controproposta si",66,34,"Walchwil (ZG)",
1711,"iniziative si",64.1,35.9,"Zugo (ZG)",
