"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1701,"deux fois non",28.9,71.1,"Baar (ZG)",
1702,"initiative oui",66.4,33.6,"Cham (ZG)",
1703,"contre-proposition oui",23.5,76.5,"Hünenberg (ZG)",
1704,"contre-proposition oui",48.4,51.6,"Menzingen (ZG)",
1705,"contre-proposition oui",60.9,39.1,"Neuheim (ZG)",
1706,"initiative oui",57.6,42.4,"Oberägeri (ZG)",
1707,"contre-proposition oui",34.9,65.1,"Risch (ZG)",
1708,"initiative oui",89.9,10.1,"Steinhausen (ZG)",
1709,"initiative oui",59.3,40.7,"Unterägeri (ZG)",
1710,"contre-proposition oui",66,34,"Walchwil (ZG)",
1711,"initiative oui",64.1,35.9,"Zoug (ZG)",
