"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4001,39.7,39.7,60.3,"Aarau AG","In Aarau hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 60,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Aarau hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage angenommen hat."
4002,63,63,37,"Biberstein AG","Ja zur Biodiversitätsinitiative in Biberstein: Mit 63 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Biberstein hat damit gleich wie der Kanton Aargau Ja gesagt zu dieser Vorlage."
4003,95.9,95.9,4.1,"Buchs AG","Die Stimmbevölkerung von Buchs AG hat die Biodiversitätsinitiative mit 95,9 Prozent angenommen. Buchs AG hat damit gleich wie der Kanton Aargau Ja gesagt zu dieser Vorlage."
4004,10.7,10.7,89.3,"Densbüren AG","In Densbüren hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 89,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Densbüren hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage angenommen hat."
4005,24.2,24.2,75.8,"Erlinsbach AG","Nein zur Biodiversitätsinitiative in Erlinsbach AG: Mit 7'285 Nein- zu 2'330 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 75,8 Prozent. Erlinsbach AG hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage angenommen hat."
4006,58.7,58.7,41.3,"Gränichen AG","In Gränichen hat die Stimmbevölkerung der Biodiversitätsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 58,7 Prozent angenommen. Gränichen hat damit gleich wie der Kanton Aargau Ja gesagt zu dieser Vorlage."
4007,41,41,59,"Hirschthal AG","In Hirschthal hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 59 Prozent verworfen. Hirschthal hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage angenommen hat."
4008,93,93,7,"Küttigen AG","Die Stimmbevölkerung von Küttigen hat die Biodiversitätsinitiative mit 93 Prozent angenommen. Küttigen hat damit gleich wie der Kanton Aargau Ja gesagt zu dieser Vorlage."
4009,5.2,5.2,94.8,"Muhen AG","In Muhen hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 94,8 Prozent verworfen. Muhen hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage angenommen hat."
4010,14.6,14.6,85.4,"Oberentfelden AG","Keine Mehrheit für die Biodiversitätsinitiative in Oberentfelden: Mit 2'505 Nein-Stimmen zu 428 Ja-Stimmen oder 85,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Oberentfelden hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage angenommen hat."
4012,47.7,47.7,52.3,"Suhr AG","Keine Mehrheit für die Biodiversitätsinitiative in Suhr: Mit 4'296 Nein-Stimmen zu 3'926 Ja-Stimmen oder 52,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Suhr hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage angenommen hat."
4013,60.1,60.1,39.9,"Unterentfelden AG","In Unterentfelden hat die Stimmbevölkerung der Biodiversitätsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 60,1 Prozent angenommen. Unterentfelden hat damit gleich wie der Kanton Aargau Ja gesagt zu dieser Vorlage."
4021,60.4,60.4,39.6,"Baden AG","60,4 Prozent der Abstimmenden in der Gemeinde Baden haben Ja gesagt zur Biodiversitätsinitiative. Baden hat damit gleich wie der Kanton Aargau Ja gesagt zu dieser Vorlage."
4022,49,49,51,"Bellikon AG","Bellikon hat die Biodiversitätsinitiative mit 51 Prozent abgelehnt. Bellikon hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage angenommen hat."
