"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6702,38.6,38.6,61.4,"Boécourt (JU)","NA NA"
6703,23.6,23.6,76.4,"Bourrignon (JU)","NA NA"
6704,58.5,58.5,41.5,"Châtillon (JU)","NA NA"
6706,65.5,65.5,34.5,"Courchapoix (JU)","NA NA"
6708,20.2,20.2,79.8,"Courrendlin (JU)","Text NA"
6709,20.1,20.1,79.9,"Courroux (JU)","NA NA"
6710,51.1,51.1,48.9,"Courtételle (JU)","NA NA"
6711,22.1,22.1,77.9,"Delémont (JU)","Text NA"
6712,20.6,20.6,79.4,"Develier (JU)","NA NA"
6713,67.5,67.5,32.5,"Ederswiler (JU)","NA NA"
6715,13.4,13.4,86.6,"Mervelier (JU)","Text NA"
6716,81.6,81.6,18.4,"Mettembert (JU)","NA NA"
6718,88.4,88.4,11.6,"Movelier (JU)","NA NA"
6719,53.8,53.8,46.2,"Pleigne (JU)","NA NA"
6721,81.8,81.8,18.2,"Rossemaison (JU)","NA NA"
6722,50.4,50.4,49.6,"Saulcy (JU)","NA NA"
6724,59.8,59.8,40.2,"Soyhières (JU)","NA NA"
6729,82.3,82.3,17.7,"Haute-Sorne (JU)","NA NA"
6730,42.4,42.4,57.6,"Val Terbi (JU)","Text NA"
6741,11.5,11.5,88.5,"Le Bémont (JU)","NA NA"
6742,78.3,78.3,21.7,"Les Bois (JU)","NA NA"
6743,68.3,68.3,31.7,"Les Breuleux (JU)","NA NA"
6745,4.7,4.7,95.3,"Les Enfers (JU)","NA NA"
6748,83.7,83.7,16.3,"Les Genevez (JU)","NA NA"
6750,43.8,43.8,56.2,"Lajoux (JU)","NA NA"
6751,12.7,12.7,87.3,"Montfaucon (JU)","NA NA"
6753,4.2,4.2,95.8,"Muriaux (JU)","Text NA"
6754,62.9,62.9,37.1,"Le Noirmont (JU)","NA NA"
6757,30,30,70,"Saignelégier (JU)","NA NA"
6758,61.6,61.6,38.4,"Saint-Brais (JU)","NA NA"
6759,62.6,62.6,37.4,"Soubey (JU)","NA NA"
6771,84.3,84.3,15.7,"Alle (JU)","NA NA"
6774,84.9,84.9,15.1,"Boncourt (JU)","NA NA"
6778,40.3,40.3,59.7,"Bure (JU)","NA NA"
6781,39.6,39.6,60.4,"Coeuve (JU)","NA NA"
6782,47.8,47.8,52.2,"Cornol (JU)","Text NA"
6783,57.3,57.3,42.7,"Courchavon (JU)","NA NA"
6784,60.4,60.4,39.6,"Courgenay (JU)","NA NA"
6785,2,2,98,"Courtedoux (JU)","NA NA"
6789,43.3,43.3,56.7,"Fahy (JU)","Text NA"
6790,31.9,31.9,68.1,"Fontenais (JU)","Text NA"
6792,4.2,4.2,95.8,"Grandfontaine (JU)","Text NA"
6800,26.6,26.6,73.4,"Porrentruy (JU)","Text NA"
6806,89.9,89.9,10.1,"Vendlincourt (JU)","NA NA"
6807,31.1,31.1,68.9,"Basse-Allaine (JU)","Text NA"
6808,55.7,55.7,44.3,"Clos du Doubs (JU)","NA NA"
6809,29.4,29.4,70.6,"Haute-Ajoie (JU)","Text NA"
6810,29,29,71,"La Baroche (JU)","Text NA"
6811,73.6,73.6,26.4,"Damphreux-Lugnez (JU)","NA NA"
6812,3.4,3.4,96.6,"Basse-Vendline (JU)","NA NA"
